Country,Year,AnnualMeanTemp,TempVolatility,iso_code,population,gdp,co2,co2_per_capita,cumulative_co2,ghg_per_capita,greenhouse_gas,gdp_per_capita,carbon_intensity_elec,electricity_generation,CoalShare,GasShare,NuclearShare,HydroShare,SolarShare,WindShare,RenewablesShare,Low_carbonShare
Bulgaria,2001,10.402283105022832,8.85358153772329,BGR,7928455.0,68877651140.0,49.02,6.183,2924.573,7.147,56.663,8687.398886668336,484.35,43.44,44.88950276243094,4.3968692449355435,45.00460405156538,3.798342541436464,0.0,0.0,3.798342541436464,48.80294659300184
Bulgaria,2002,10.241151123422592,7.987882110172633,BGR,7861949.0,73450036758.0,46.141,5.869,2970.714,6.914,54.355,9342.471791409484,444.63,42.08,40.826996197718636,3.6596958174904946,48.051330798479086,5.0380228136882135,0.0,0.0,5.0380228136882135,53.0893536121673
Bulgaria,2003,10.09558599695586,9.211759471653501,BGR,7804405.0,77722336425.0,50.491,6.47,3021.206,7.648,59.688,9958.777949760424,492.9,42.28,45.506149479659406,4.162724692526017,40.870387890255444,7.07190160832545,0.0,0.0,7.07190160832545,47.942289498580884
Bulgaria,2004,10.299787492410445,8.019573571188072,BGR,7749430.0,83228668873.0,49.537,6.392,3070.743,7.123,55.197,10739.972988077832,493.71,41.36,45.696324951644094,3.602514506769826,40.667311411992266,7.591876208897485,0.0,0.0,7.591876208897485,48.25918762088975
Bulgaria,2005,9.5220700152207,8.085934944925066,BGR,7695047.0,89684785590.0,50.6,6.576,3121.343,7.39,56.864,11654.871710335232,453.86,43.89,42.05969469127364,3.941672362724994,42.492595124174066,9.797220323536113,0.0,0.0,9.797220323536113,52.28981544771018
Bulgaria,2006,10.23226788432268,8.638118477499443,BGR,7640292.0,96404598197.0,51.837,6.785,3173.181,7.48,57.148,12617.920649760506,451.81,45.44,42.01144366197183,4.753521126760564,42.89172535211267,9.264964788732396,0.0,0.04401408450704226,9.308978873239438,52.20070422535211
Bulgaria,2007,11.968864468864469,8.366309914587942,BGR,7586896.0,104058200673.0,55.669,7.338,3228.85,8.155,61.869,13715.516948301387,558.62,42.82,52.24194301728164,5.4647361046240075,34.189631013545075,6.609061186361513,0.0,0.11676786548341896,6.725829051844932,40.91546006539
Bulgaria,2008,11.886453576864536,8.342512978769856,BGR,7535589.0,110900337989.0,54.026,7.169,3282.876,8.148,61.401,14716.877206148052,550.91,44.49,52.101595864239144,5.304562823106315,35.44616767812991,6.271072151045179,0.0,0.26972353337828725,6.585749606653181,42.03191728478309
Bulgaria,2009,11.474969474969475,8.339344149736194,BGR,7488016.0,107365071902.0,45.75,6.11,3328.626,7.285,54.552,14338.253537652698,528.48,42.31,49.870007090522336,4.632474592294965,36.06712361143937,8.10683053651619,0.0,0.5672417868116284,8.697707397778302,44.76483100921768
Bulgaria,2010,11.589497716894979,8.151478903330844,BGR,7437594.0,109045208364.0,47.816,6.429,3376.442,7.795,57.977,14661.355320551243,521.01,45.93,49.227084694099716,4.28913564119312,33.20269976050512,10.95144785543218,0.021772262138036142,1.4805138253864578,12.540822991508819,45.74352275201394
Bulgaria,2011,10.808675799086759,9.223489084194604,BGR,7380023.0,109435363210.0,53.12,7.198,3429.562,9.029,66.638,14828.593787580337,577.66,49.96,55.10408326661329,4.1633306645316255,32.64611689351481,5.744595676541233,0.20016012810248196,1.7213771016813448,7.786228983186549,40.43234587670136
Bulgaria,2012,11.779751062537947,10.412049460511271,BGR,7317020.0,110261509885.0,48.277,6.598,3477.839,8.443,61.776,15069.182520342982,525.4,46.46,49.22513990529488,5.07963839862247,33.964700817907875,6.8445975032285835,1.678863538527766,2.6259147653895822,11.300043047783038,45.26474386569092
Bulgaria,2013,11.936073059360732,8.261652623071296,BGR,7264605.0,109643527181.0,42.583,5.862,3520.422,7.268,52.799,15092.840860721264,487.45,43.02,45.07205950720595,5.439330543933054,32.93816829381683,9.390980939098094,3.231055323105532,3.1845653184565315,16.06229660622966,49.00046490004648
